,primaryTitle,startYear,genres,averageRating,numVotes
262,Max Manus,2008.0,Action Biography Drama,7.3,26293
263,On the Basis of Sex,2018.0,Biography Drama,7.1,26223
264,Mask,1985.0,Biography Drama,7.2,25903
265,Alias Grace,2017.0,Biography Crime Drama,7.8,24997
266,Goodbye Christopher Robin,2017.0,Biography Drama,7.1,24444
267,Capturing the Friedmans,2003.0,Biography Documentary,7.7,23911
268,Before Night Falls,2000.0,Biography Drama Romance,7.2,23889
269,Amazing Grace,2006.0,Biography Drama History,7.4,23816
270,Dersu Uzala,1975.0,Adventure Biography Drama,8.3,23499
271,Ip Man 4: The Finale,2019.0,Action Biography Drama,7.1,23454
272,Immortal Beloved,1994.0,Biography Drama Music,7.4,23116
273,Professor Marston & the Wonder Women,2017.0,Biography Drama History,7.1,22866
274,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003.0,Biography Documentary History,8.1,22712
275,Won't You Be My Neighbor?,2018.0,Biography Documentary,8.4,22638
276,Conversations with a Killer: The Ted Bundy Tapes,2019.0,Biography Crime Documentary,7.8,22410
277,Victoria,2016.0,Biography Drama History,8.2,21979
278,Restrepo,2010.0,Biography Documentary History,7.5,21889
279,Guru,2007.0,Biography Drama,7.7,21845
280,Mank,2020.0,Biography Comedy Drama,7.2,21782
281,Christiane F.,1981.0,Biography Drama,7.6,21578
282,Megan Leavey,2017.0,Biography Drama War,7.1,21487
283,Miracles from Heaven,2016.0,Biography Drama Family,7.1,21329
284,David Attenborough: A Life on Our Planet,2020.0,Biography Documentary,9.0,21317
285,Hitler: The Rise of Evil,2003.0,Biography Drama History,7.3,20849
286,Neerja,2016.0,Biography Drama Thriller,7.7,20791
287,Reds,1981.0,Biography Drama History,7.3,20786
288,Embrace of the Serpent,2015.0,Adventure Biography Drama,7.9,20637
289,Tanhaji: The Unsung Warrior,2020.0,Action Biography Drama,7.6,20476
290,Super 30,2019.0,Biography Drama,7.9,20379
291,Marshall,2017.0,Biography Crime Drama,7.2,20203
292,The Butterfly's Dream,2013.0,Biography Drama History,7.8,19819
293,The Express,2008.0,Biography Drama Sport,7.3,19764
294,Jesus of Nazareth,1977.0,Biography Drama History,8.5,19745
295,The Salt of the Earth,2014.0,Biography Documentary History,8.5,19689
296,Into the White,2012.0,Action Biography Drama,7.2,19582
297,It's All Gone Pete Tong,2004.0,Biography Comedy Drama,7.3,19234
