,titleType,primaryTitle,startYear,genres,averageRating,numVotes
167,movie,Willow,1988.0,Action Adventure Drama,7.3,100278
171,movie,Mean Streets,1973.0,Crime Drama Thriller,7.2,99305
172,movie,Friday,1995.0,Comedy Drama,7.3,99295
173,movie,Silence,2016.0,Drama History,7.2,99225
175,movie,Driving Miss Daisy,1989.0,Drama,7.3,98568
176,movie,Gifted,2017.0,Drama,7.6,98369
178,movie,Jacob's Ladder,1990.0,Drama Horror Mystery,7.5,98200
179,movie,Deliverance,1972.0,Adventure Drama Thriller,7.7,98171
180,movie,The Full Monty,1997.0,Comedy Drama,7.2,98168
181,movie,United 93,2006.0,Action Drama History,7.5,98011
182,movie,The Spy Who Loved Me,1977.0,Action Adventure Thriller,7.1,97893
183,movie,Broken Flowers,2005.0,Comedy Drama Mystery,7.2,97840
184,movie,My Name Is Khan,2010.0,Drama,8.0,97832
185,movie,Born on the Fourth of July,1989.0,Biography Drama War,7.2,97761
186,movie,Elite Squad,2007.0,Action Crime Drama,8.1,97592
188,movie,The Conversation,1974.0,Drama Mystery Thriller,7.8,97461
190,movie,Tootsie,1982.0,Comedy Drama Romance,7.4,97227
191,movie,Ip Man 2,2010.0,Action Biography Drama,7.5,97099
192,movie,Fences,2016.0,Drama,7.2,96956
193,movie,Paddington,2014.0,Adventure Comedy Family,7.2,96924
194,movie,"Love, Simon",2018.0,Comedy Drama Romance,7.6,96877
195,movie,Running Scared,2006.0,Action Crime Drama,7.4,96656
196,movie,Jo Nesbø's Headhunters,2011.0,Action Crime Thriller,7.5,96412
197,movie,The Motorcycle Diaries,2004.0,Adventure Biography Drama,7.8,96209
198,movie,Before the Devil Knows You're Dead,2007.0,Crime Drama Thriller,7.3,96200
199,movie,National Lampoon's Vacation,1983.0,Adventure Comedy,7.4,96115
202,movie,Enter the Dragon,1973.0,Action Crime Drama,7.7,95666
203,movie,Super Troopers,2001.0,Comedy Crime Mystery,7.1,95642
204,movie,St. Vincent,2014.0,Comedy Drama,7.2,95440
205,movie,Ruby Sparks,2012.0,Comedy Drama Fantasy,7.2,95276
206,movie,Glengarry Glen Ross,1992.0,Crime Drama Mystery,7.7,95169
209,movie,Volver,2006.0,Comedy Drama,7.6,94265
211,movie,"Good Night, and Good Luck.",2005.0,Biography Drama History,7.4,93753
212,movie,Fast Times at Ridgemont High,1982.0,Comedy Drama,7.2,93698
213,movie,Philomena,2013.0,Biography Comedy Drama,7.6,93671
216,movie,The Last Emperor,1987.0,Biography Drama History,7.7,93465
