,titleType,primaryTitle,startYear,genres,averageRating,numVotes
459,movie,The Chorus,2004.0,Drama Music,7.9,57003
461,movie,Richard Jewell,2019.0,Biography Crime Drama,7.5,56877
466,movie,The Body,2012.0,Mystery Thriller,7.6,56463
468,movie,G.O.R.A.,2004.0,Adventure Comedy Sci-Fi,8.0,56264
469,movie,"4 Months, 3 Weeks and 2 Days",2007.0,Drama,7.9,56252
472,movie,The Little Prince,2015.0,Adventure Animation Drama,7.7,56176
474,movie,Perfect Strangers,2016.0,Comedy Drama,7.8,56126
480,movie,The Piano Teacher,2001.0,Drama,7.5,55693
481,movie,The Great Debaters,2007.0,Biography Drama Romance,7.5,55672
482,movie,March of the Penguins,2005.0,Documentary Family,7.5,55665
491,movie,Dark Waters,2019.0,Biography Drama History,7.6,54834
493,movie,Waltz with Bashir,2008.0,Animation Biography Documentary,8.0,54826
510,movie,Free Solo,2018.0,Adventure Documentary Sport,8.2,53131
513,movie,"I, Daniel Blake",2016.0,Drama,7.9,52972
514,movie,Grizzly Man,2005.0,Biography Documentary,7.8,52840
519,movie,Airlift,2016.0,Drama History,8.0,52560
520,movie,Baby,2015.0,Action Thriller,8.0,52488
521,movie,Man on Wire,2008.0,Biography Crime Documentary,7.7,52427
526,movie,Victoria,2015.0,Crime Drama Romance,7.6,52206
527,movie,Citizenfour,2014.0,Biography Documentary History,8.0,52159
528,movie,Secondhand Lions,2003.0,Comedy Drama Family,7.5,52123
530,movie,Hotel Mumbai,2018.0,Action Drama History,7.6,51951
536,movie,The World's Fastest Indian,2005.0,Biography Drama Sport,7.8,51717
541,movie,Mother,2009.0,Crime Drama Mystery,7.8,51423
543,movie,Pride,2014.0,Biography Comedy Drama,7.8,51384
545,movie,OMG: Oh My God!,2012.0,Comedy Drama Fantasy,8.1,51102
548,movie,Head-On,2004.0,Drama Romance,7.9,50982
552,movie,Soorarai Pottru,2020.0,Drama,8.7,50869
556,movie,Song of the Sea,2014.0,Adventure Animation Drama,8.1,50599
557,movie,Special 26,2013.0,Crime Drama Thriller,8.0,50595
560,movie,5 Centimeters Per Second,2007.0,Animation Drama Family,7.6,50505
563,movie,Tell No One,2006.0,Crime Drama Mystery,7.5,50431
564,movie,The Wailing,2016.0,Horror Mystery Thriller,7.5,50425
566,movie,The Salesman,2016.0,Drama Thriller,7.8,50368
567,movie,The Triplets of Belleville,2003.0,Animation Comedy Drama,7.8,50364
569,movie,Haider,2014.0,Action Crime Drama,8.1,50100
571,movie,3-Iron,2004.0,Crime Drama Romance,8.0,50001
572,movie,The Lunchbox,2013.0,Drama Romance,7.8,49999
573,movie,Loving Vincent,2017.0,Animation Biography Crime,7.8,49993
574,movie,Mommy,2014.0,Drama,8.1,49986
579,movie,Hamilton,2020.0,Biography Drama History,8.6,49503
583,movie,The Flowers of War,2011.0,Drama History Romance,7.6,49351
584,movie,"Food, Inc.",2008.0,Documentary News,7.8,49249
585,movie,Dead Man's Shoes,2004.0,Crime Drama Thriller,7.6,49124
588,movie,Leviathan,2014.0,Crime Drama,7.6,48929
590,movie,Veer-Zaara,2004.0,Drama Family Musical,7.8,48648
591,movie,The Farewell,2019.0,Comedy Drama,7.6,48630
594,movie,Amy,2015.0,Biography Documentary Music,7.8,48299
595,movie,Departures,2008.0,Drama Music,8.1,48279
597,movie,Cold War,2018.0,Drama History Music,7.6,47948
600,movie,Pain and Glory,2019.0,Drama,7.5,47864
603,movie,Burning,2018.0,Drama Mystery,7.5,47675
604,movie,Miracle,2004.0,Biography Drama History,7.5,47624
605,movie,Who Am I,2014.0,Crime Drama Mystery,7.6,47600
613,movie,Jab We Met,2007.0,Comedy Drama Romance,7.9,47293
615,movie,The Cove,2009.0,Biography Crime Documentary,8.4,47117
617,movie,The Blind Swordsman: Zatoichi,2003.0,Action Comedy Crime,7.5,46998
618,movie,Sanju,2018.0,Biography Comedy Drama,7.8,46934
623,movie,A Man Called Ove,2015.0,Comedy Drama Romance,7.7,46570
626,movie,The Wind that Shakes the Barley,2006.0,Drama War,7.5,46229
631,movie,Winter Sleep,2014.0,Drama,8.1,45465
633,movie,A Silent Voice: The Movie,2016.0,Animation Drama Family,8.1,45258
634,movie,Adam's Apples,2005.0,Comedy Crime Drama,7.8,45220
635,movie,My Sassy Girl,2001.0,Comedy Drama Romance,8.0,45176
636,movie,Darbareye Elly,2009.0,Drama Mystery Thriller,8.0,45031
637,movie,The Imposter,2012.0,Biography Crime Documentary,7.5,45008
641,movie,The Past,2013.0,Drama Mystery,7.8,44689
644,movie,Son of Saul,2015.0,Drama War,7.5,44598
648,movie,No Man's Land,2001.0,Comedy Drama War,7.9,44388
652,movie,Just Mercy,2019.0,Biography Crime Drama,7.6,44033
653,movie,A Royal Affair,2012.0,Biography Drama History,7.5,43912
656,movie,CM101MMXI Fundamentals,2013.0,Comedy Documentary,9.2,43750
667,movie,The Counterfeiters,2007.0,Crime Drama History,7.6,43085
669,movie,1 - Nenokkadine,2014.0,Action Thriller,8.1,42847
670,movie,The Guilty,2018.0,Crime Drama Thriller,7.5,42797
671,movie,"Carry On, Munna Bhai",2006.0,Comedy Drama Romance,8.1,42746
672,movie,Life as a House,2001.0,Drama,7.5,42740
675,movie,Uri: The Surgical Strike,2019.0,Action Drama War,8.2,42649
676,movie,Cowboy Bebop: The Movie,2001.0,Action Animation Crime,7.9,42591
677,movie,Lilya 4-Ever,2002.0,Crime Drama,7.8,42420
680,movie,Udaan,2010.0,Drama,8.2,42063
684,movie,The Return,2003.0,Drama,8.0,42023
693,movie,The Visitor,2007.0,Drama,7.6,41417
696,movie,The Damned United,2009.0,Biography Drama Sport,7.5,41218
700,movie,Once Upon a Time in Anatolia,2011.0,Crime Drama,7.9,41153
710,movie,In America,2002.0,Drama,7.7,40299
722,movie,Vicky Donor,2012.0,Comedy Romance,7.8,39411
724,movie,Tangerines,2013.0,Drama War,8.2,39377
728,movie,Whale Rider,2002.0,Drama Family,7.5,39250
729,movie,M.S. Dhoni: The Untold Story,2016.0,Biography Drama Sport,7.8,39242
731,movie,The Broken Circle Breakdown,2012.0,Drama Music Romance,7.7,39142
734,movie,Rockstar,2011.0,Drama Music Musical,7.7,39053
738,movie,Vishwaroopam,2013.0,Action Thriller,8.2,38673
739,movie,Pink,2016.0,Drama Thriller,8.1,38651
744,movie,In a Better World,2010.0,Drama Romance,7.6,38326
746,movie,Icarus,2017.0,Documentary Sport,7.9,38300
747,movie,Wolf Children,2012.0,Animation Drama Fantasy,8.1,38289
752,movie,Devdas,2002.0,Drama Musical Romance,7.6,38084
757,movie,The Tale of The Princess Kaguya,2013.0,Adventure Animation Drama,8.0,37891
758,movie,Tae Guk Gi: The Brotherhood of War,2004.0,Action Drama War,8.1,37671
765,movie,"Lust, Caution",2007.0,Drama History Romance,7.5,37143
770,movie,Going Clear: Scientology & the Prison of Belief,2015.0,Documentary,8.0,36800
773,movie,Boy A,2007.0,Drama,7.6,36528
783,movie,A Bittersweet Life,2005.0,Action Crime Drama,7.6,36062
786,movie,Ghost in the Shell 2: Innocence,2004.0,Action Animation Drama,7.5,36021
794,movie,Dear Zindagi,2016.0,Drama Romance,7.6,35732
798,movie,Evil,2003.0,Drama,7.8,35467
799,movie,Confessions,2010.0,Drama Thriller,7.8,35454
801,movie,Mustang,2015.0,Drama,7.6,35383
812,movie,Land of Mine,2015.0,Drama History War,7.8,35032
813,movie,Togo,2019.0,Adventure Biography Drama,8.0,35029
816,movie,The Act of Killing,2012.0,Biography Crime Documentary,8.2,34947
822,movie,The King of Kong: A Fistful of Quarters,2007.0,Biography Documentary Sport,8.1,34603
829,movie,K.G.F: Chapter 1,2018.0,Action Drama,8.2,34165
832,movie,The Garden of Words,2013.0,Animation Drama Romance,7.5,34030
835,movie,The Class,2008.0,Drama,7.5,33830
841,movie,The Illusionist,2010.0,Animation Drama Family,7.5,33499
843,movie,Touching the Void,2003.0,Adventure Documentary Drama,8.0,33475
847,movie,Ayla: The Daughter of War,2017.0,Biography Drama History,8.4,33390
849,movie,Jiro Dreams of Sushi,2011.0,Documentary,7.9,33339
850,movie,English Vinglish,2012.0,Comedy Drama Family,7.8,33315
852,movie,Black,2005.0,Drama,8.2,33194
854,movie,Samsara,2011.0,Documentary Music,8.5,33114
857,movie,Vizontele,2001.0,Comedy Drama,8.0,33044
858,movie,Dear Zachary: A Letter to a Son About His Father,2008.0,Biography Crime Documentary,8.5,33037
860,movie,Paan Singh Tomar,2012.0,Action Biography Crime,8.2,32950
870,movie,Chhichhore,2019.0,Comedy Drama,8.2,32286
876,movie,Yedinci Kogustaki Mucize,2019.0,Drama,8.3,32051
878,movie,When Marnie Was There,2014.0,Animation Drama Family,7.7,32025
881,movie,Mesrine: Killer Instinct,2008.0,Action Biography Crime,7.5,31960
887,movie,Hedwig and the Angry Inch,2001.0,Comedy Drama Music,7.7,31810
888,movie,Kai Po Che,2013.0,Drama Sport,7.7,31807
889,movie,After the Wedding,2006.0,Drama,7.7,31779
891,movie,The Breath,2009.0,Action Drama Thriller,8.0,31631
902,movie,C.R.A.Z.Y.,2005.0,Comedy Drama,7.9,31362
909,movie,13th,2016.0,Crime Documentary History,8.3,31143
910,movie,Gully Boy,2019.0,Drama Music,8.0,31142
912,movie,The Secret of Kells,2009.0,Adventure Animation Family,7.6,31082
913,movie,Sin Nombre,2009.0,Adventure Crime Drama,7.6,31028
916,movie,The Red Turtle,2016.0,Animation Family Fantasy,7.5,30809
917,movie,Tokyo Godfathers,2003.0,Adventure Animation Comedy,7.8,30774
918,movie,Talvar,2015.0,Crime Drama Mystery,8.2,30745
923,movie,The Edge of Heaven,2007.0,Drama,7.8,30640
925,movie,The Edukators,2004.0,Drama Romance,7.5,30608
928,movie,Drishyam,2013.0,Crime Drama Thriller,8.3,30398
933,movie,Tyrannosaur,2011.0,Drama,7.6,30169
940,movie,Interstate 60: Episodes of the Road,2002.0,Adventure Comedy Drama,7.7,29791
941,movie,Jodhaa Akbar,2008.0,Action Drama History,7.6,29663
948,movie,Waar,2013.0,Action Crime Drama,7.9,29372
951,movie,Loveless,2017.0,Drama,7.6,29336
953,movie,Raanjhanaa,2013.0,Drama Romance,7.6,29316
959,movie,Instructions Not Included,2013.0,Comedy Drama,7.5,28984
961,movie,Piku,2015.0,Comedy Drama,7.6,28666
964,movie,They Shall Not Grow Old,2018.0,Documentary History War,8.3,28651
971,movie,Dev.D,2009.0,Drama Romance,8.0,28554
973,movie,Death Note,2006.0,Crime Drama Fantasy,7.7,28509
975,movie,Mesrine: Public Enemy No. 1,2008.0,Action Biography Crime,7.5,28273
978,movie,The Barbarian Invasions,2003.0,Comedy Crime Drama,7.6,28170
980,movie,Wake Up Sid,2009.0,Comedy Drama Romance,7.6,28004
986,movie,Weekend,2011.0,Drama Romance,7.6,27889
988,movie,Cobain: Montage of Heck,2015.0,Animation Biography Documentary,7.5,27829
997,movie,Joyeux Noel,2005.0,Drama History Music,7.7,27565
998,movie,I Killed My Mother,2009.0,Drama Romance,7.5,27537
1000,movie,Stree,2018.0,Comedy Horror,7.6,27493
1003,movie,Badhaai Ho,2018.0,Comedy Drama,8.0,27384
1004,movie,Delhi Belly,2011.0,Action Comedy Crime,7.6,27341
1006,movie,This Film Is Not Yet Rated,2006.0,Documentary,7.5,27295
1010,movie,The Boy Who Harnessed the Wind,2019.0,Drama,7.6,27061
1012,movie,Vikram Vedha,2017.0,Action Crime Drama,8.5,27037
1014,movie,Three Identical Strangers,2018.0,Biography Documentary Drama,7.7,26933
1019,movie,Udta Punjab,2016.0,Action Crime Drama,7.8,26875
1023,movie,Tumbbad,2018.0,Drama Fantasy Horror,8.3,26717
1040,movie,Sophie Scholl: The Final Days,2005.0,Biography Crime Drama,7.6,26344
1041,movie,The Blue Elephant,2014.0,Drama Horror Mystery,8.1,26331
1044,movie,Highway,2014.0,Crime Drama Romance,7.6,26271
1050,movie,Before the Flood,2016.0,Documentary News,8.3,26086
1051,movie,Tanu Weds Manu Returns,2015.0,Comedy Drama Romance,7.6,26073
1052,movie,Summer Wars,2009.0,Action Adventure Animation,7.5,25984
1058,movie,The Magdalene Sisters,2002.0,Drama,7.7,25822
1060,movie,I Lost My Body,2019.0,Animation Drama Fantasy,7.6,25768
1066,movie,Mr. Church,2016.0,Comedy Drama,7.6,25416
1080,movie,Raazi,2018.0,Action Drama Thriller,7.8,24833
1086,movie,Nobody Knows,2004.0,Drama,8.1,24674
1088,movie,God's Own Country,2017.0,Drama Romance,7.7,24542
1094,movie,Control,2003.0,Comedy Crime Drama,7.6,24321
1100,movie,Mersal,2017.0,Action Thriller,7.6,24185
1102,movie,My Life Without Me,2003.0,Drama Romance,7.5,24108
1104,movie,The Art of Racing in the Rain,2019.0,Comedy Drama Romance,7.6,24009
1108,movie,Capturing the Friedmans,2003.0,Biography Documentary,7.7,23911
1110,movie,Vera Drake,2004.0,Crime Drama,7.6,23861
1118,movie,Ludo,2020.0,Action Comedy Crime,7.6,23690
1119,movie,On Body and Soul,2017.0,Drama Fantasy Mystery,7.6,23668
1121,movie,Where to Invade Next,2015.0,Comedy Documentary,7.5,23502
1125,movie,Thuppakki,2012.0,Action Thriller,7.9,23415
1126,movie,Masaan,2015.0,Drama,8.2,23372
1130,movie,Bloody Sunday,2002.0,Drama History War,7.6,23197
1133,movie,Millennium Actress,2001.0,Animation Drama Fantasy,7.9,23079
1136,movie,Kapoor & Sons,2016.0,Comedy Drama Family,7.7,23032
1138,movie,Raatchasan,2018.0,Action Crime Thriller,8.7,22949
1139,movie,Hindi Medium,2017.0,Comedy Drama,7.8,22943
1141,movie,Red Cliff II,2009.0,Action Adventure Drama,7.6,22887
1142,movie,Jim & Andy: The Great Beyond,2017.0,Documentary,7.7,22878
1144,movie,Article 15,2019.0,Crime Drama Mystery,8.2,22784
1145,movie,The Way He Looks,2014.0,Drama Romance,7.9,22783
1146,movie,Madras Cafe,2013.0,Action Drama Thriller,7.7,22738
1149,movie,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003.0,Biography Documentary History,8.1,22712
1151,movie,Won't You Be My Neighbor?,2018.0,Biography Documentary,8.4,22638
1155,movie,Little Manhattan,2005.0,Comedy Family Romance,7.5,22494
1157,movie,Remember,2015.0,Drama Mystery Thriller,7.5,22449
1161,movie,Mirror Game,2016.0,Crime Mystery Thriller,9.1,22335
1172,movie,Khosla's Nest,2006.0,Comedy Crime Drama,8.3,22134
1173,movie,Dragon Ball Super: Broly,2018.0,Action Adventure Animation,7.9,22120
1175,movie,The Twilight Samurai,2002.0,Drama History Romance,8.1,22114
1181,movie,The Man Without a Past,2002.0,Comedy Drama Romance,7.7,21954
1183,movie,Restrepo,2010.0,Biography Documentary History,7.5,21889
1185,movie,Badla,2019.0,Crime Drama Mystery,7.8,21884
1186,movie,Guru,2007.0,Biography Drama,7.7,21845
1188,movie,Boy,2010.0,Comedy Drama,7.5,21806
1190,movie,A Moment to Remember,2004.0,Drama Romance,8.2,21738
1193,movie,Jodorowsky's Dune,2013.0,Documentary,8.1,21693
1197,movie,"Like Father, Like Son",2013.0,Drama,7.8,21607
1202,movie,My Life as a Zucchini,2016.0,Animation Comedy Drama,7.8,21502
1207,movie,Losers' Club,2011.0,Comedy Drama Romance,7.6,21416
1210,movie,Home,2009.0,Documentary,8.6,21337
1211,movie,Apollo 11,2019.0,Documentary History,8.2,21336
1214,movie,David Attenborough: A Life on Our Planet,2020.0,Biography Documentary,9.0,21317
1215,movie,Away from Her,2006.0,Drama,7.5,21291
1219,movie,The Fly,2012.0,Action Comedy Fantasy,7.7,21212
1223,movie,Cowspiracy: The Sustainability Secret,2014.0,Documentary,8.3,21072
