,primaryTitle,startYear,genres,averageRating,numVotes
1862,Bleach,2004.0,Action Adventure Animation,8.1,43050
1868,Steins;Gate,2011.0,Animation Comedy Drama,8.8,42784
1876,Cowboy Bebop: The Movie,2001.0,Action Animation Crime,7.9,42591
1890,The Peanuts Movie,2015.0,Animation Comedy Family,7.1,42025
1923,Justice League,2001.0,Action Adventure Animation,8.5,40668
1929,Samurai Champloo,2004.0,Action Adventure Animation,8.5,39989
1946,Balto,1995.0,Adventure Animation Drama,7.1,39474
1947,Over the Garden Wall,2014.0,Adventure Animation Drama,8.8,39439
1953,Robot Chicken,2005.0,Adventure Animation Comedy,7.7,39291
1974,A Close Shave,1995.0,Animation Comedy Crime,8.1,38519
1982,Wolf Children,2012.0,Animation Drama Fantasy,8.1,38289
1991,Neon Genesis Evangelion: The End of Evangelion,1997.0,Action Animation Drama,8.1,37993
1995,The Tale of The Princess Kaguya,2013.0,Adventure Animation Drama,8.0,37891
2002,Courage the Cowardly Dog,1999.0,Adventure Animation Comedy,8.2,37608
2004,Castlevania,2017.0,Action Adventure Animation,8.2,37560
2009,X-Men: The Animated Series,1992.0,Action Animation Family,8.4,37342
2010,The Transformers: The Movie,1986.0,Action Adventure Animation,7.3,37315
2013,Pokémon,1997.0,Action Adventure Animation,7.5,37228
2021,Shaun the Sheep Movie,2015.0,Adventure Animation Comedy,7.3,36868
2022,The Powerpuff Girls,1998.0,Action Adventure Animation,7.2,36835
2048,Ghost in the Shell 2: Innocence,2004.0,Action Animation Drama,7.5,36021
2050,The Secret of NIMH,1982.0,Adventure Animation Drama,7.6,35983
2065,Sword Art Online,2012.0,Action Adventure Animation,7.6,35400
2089,Fantasia 2000,1999.0,Animation Comedy Family,7.2,34885
2095,From Up on Poppy Hill,2011.0,Animation Drama Family,7.4,34642
2101,Tokyo Ghoul,2014.0,Action Animation Drama,7.9,34355
2103,Ninja Scroll,1993.0,Action Adventure Animation,7.9,34308
2106,Phineas and Ferb,2007.0,Action Animation Comedy,7.9,34261
2115,The Garden of Words,2013.0,Animation Drama Romance,7.5,34030
2118,Bedknobs and Broomsticks,1971.0,Adventure Animation Comedy,7.1,33912
2129,The Illusionist,2010.0,Animation Drama Family,7.5,33499
2132,Watership Down,1978.0,Adventure Animation Drama,7.6,33457
2138,The Fairly OddParents,2001.0,Adventure Animation Comedy,7.2,33338
2157,Ed  Edd n Eddy,1999.0,Animation Comedy Family,7.4,32857
2166,Johnny Bravo,1997.0,Adventure Animation Comedy,7.2,32490
2172,The Many Adventures of Winnie the Pooh,1977.0,Adventure Animation Comedy,7.6,32346
2189,When Marnie Was There,2014.0,Animation Drama Family,7.7,32025
2192,My Hero Academia,2016.0,Action Adventure Animation,8.5,31963
2194,Final Space,2018.0,Action Adventure Animation,8.3,31928
2205,Rugrats,1990.0,Adventure Animation Comedy,7.4,31659
2226,A Grand Day Out,1989.0,Adventure Animation Comedy,7.8,31248
2227,Young Justice,2010.0,Action Adventure Animation,8.6,31209
2228,Paperman,2012.0,Animation Comedy Family,8.3,31188
2238,The Secret of Kells,2009.0,Adventure Animation Family,7.6,31082
2243,The Red Turtle,2016.0,Animation Family Fantasy,7.5,30809
2246,Tokyo Godfathers,2003.0,Adventure Animation Comedy,7.8,30774
2262,Teenage Mutant Ninja Turtles,1987.0,Action Adventure Animation,7.9,30403
2265,Hey Arnold!,1996.0,Animation Comedy Drama,7.6,30369
2289,Elfen Lied,2004.0,Action Animation Drama,8.0,29497
2302,Regular Show,2009.0,Action Adventure Animation,8.4,29262
2306,DuckTales,1987.0,Adventure Animation Comedy,8.1,29141
2309,Vampire Hunter D: Bloodlust,2000.0,Action Animation Fantasy,7.7,29044
2311,For the Birds,2000.0,Animation Comedy Family,8.0,29014
2315,Star Wars Rebels,2014.0,Action Adventure Animation,8.0,28870
2320,F Is for Family,2015.0,Animation Comedy Drama,8.0,28664
2342,Berserk,1997.0,Action Adventure Animation,8.7,28200
2355,Pinky and the Brain,1995.0,Animation Comedy Family,7.9,27948
2362,Cobain: Montage of Heck,2015.0,Animation Biography Documentary,7.5,27829
2381,Beavis and Butt-Head,1993.0,Animation Comedy Music,7.5,27479
2391,Erased,2016.0,Animation Drama Fantasy,8.5,27279
2416,Lupin the 3rd: Castle of Cagliostro,1979.0,Adventure Animation Family,7.7,26573
2421,Only Yesterday,1991.0,Animation Drama Romance,7.6,26501
2423,Spider-Man: The Animated Series,1994.0,Action Adventure Animation,8.4,26400
2425,The Boondocks,2005.0,Action Animation Comedy,8.4,26389
2446,Dragon Ball Z: Battle of Gods,2013.0,Action Adventure Animation,7.2,26123
2451,Teen Titans,2003.0,Action Adventure Animation,7.8,26011
2453,Summer Wars,2009.0,Action Adventure Animation,7.5,25984
2464,I Lost My Body,2019.0,Animation Drama Fantasy,7.6,25768
2473,Steven Universe,2013.0,Adventure Animation Comedy,8.2,25380
2474,Piper,2016.0,Animation Family Short,8.4,25351
2497,Pom Poko,1994.0,Animation Comedy Drama,7.3,24803
2503,Fantastic Planet,1973.0,Animation Sci-Fi,7.8,24649
2522,Parasyte: The Maxim,2014.0,Action Animation Horror,8.3,24229
2524,The Last Unicorn,1982.0,Adventure Animation Drama,7.5,24213
2534,Batman Beyond,1999.0,Action Adventure Animation,8.1,24018
2564,The Brave Little Toaster,1987.0,Adventure Animation Family,7.3,23487
2570,Kim Possible,2002.0,Action Adventure Animation,7.2,23403
2573,The Venture Bros.,2003.0,Action Adventure Animation,8.5,23365
2586,Millennium Actress,2001.0,Animation Drama Fantasy,7.9,23079
2590,Daria,1997.0,Animation Comedy Drama,8.0,23031
2606,Dragon Ball Super,2015.0,Action Adventure Animation,8.4,22729
2609,Geri's Game,1997.0,Animation Family Short,7.9,22660
2610,Aqua Teen Hunger Force,2000.0,Animation Comedy,7.6,22643
2615,Presto,2008.0,Animation Comedy Family,8.3,22549
2627,Star Wars: Clone Wars,2003.0,Action Adventure Animation,7.8,22413
2631,Recess,1997.0,Adventure Animation Comedy,7.8,22367
2646,Dragon Ball Super: Broly,2018.0,Action Adventure Animation,7.9,22120
2661,Feast,2014.0,Animation Comedy Drama,8.2,21960
2679,Winnie the Pooh,2011.0,Adventure Animation Comedy,7.2,21678
2680,Vincent,1982.0,Animation Family Fantasy,8.3,21677
2689,Demon Slayer: Kimetsu No Yaiba,2019.0,Action Animation Fantasy,8.7,21590
2694,My Life as a Zucchini,2016.0,Animation Comedy Drama,7.8,21502
2708,The Seven Deadly Sins,2014.0,Action Adventure Animation,8.1,21374
2721,Animaniacs,1993.0,Animation Comedy Family,7.9,21214
2727,Bao,2018.0,Animation Family Fantasy,7.5,21156
2734,The Amazing World of Gumball,2011.0,Adventure Animation Comedy,8.2,20962
2760,The Ren & Stimpy Show,1991.0,Adventure Animation Comedy,7.5,20621
