,primaryTitle,startYear,genres,averageRating
201,A Man Called Ove,2015,Comedy Drama Romance,7.7
202,My Sassy Girl,2001,Comedy Drama Romance,8.0
203,Hart of Dixie,2011,Comedy Drama Romance,7.7
204,Much Ado About Nothing,1993,Comedy Drama Romance,7.3
205,Kabhi Khushi Kabhie Gham...,2001,Drama Musical Romance,7.4
206,Far from the Madding Crowd,2015,Drama Romance,7.1
207,Far from Heaven,2002,Drama Romance,7.3
208,Candy,2006,Drama Romance,7.2
209,"Carry On, Munna Bhai",2006,Comedy Drama Romance,8.1
210,Coupling,2000,Comedy Romance,8.5
211,Awkward.,2011,Comedy Drama Romance,7.5
212,The Last Picture Show,1971,Drama Romance,8.0
213,Sophie's Choice,1982,Drama Romance,7.6
214,Five Feet Apart,2019,Drama Romance,7.2
215,If Beale Street Could Talk,2018,Drama Romance,7.1
216,Better Off Dead...,1985,Comedy Romance,7.1
217,Vicky Donor,2012,Comedy Romance,7.8
218,A Room with a View,1985,Drama Romance,7.3
219,L'auberge espagnole,2002,Comedy Drama Romance,7.3
220,Welcome to the Sticks,2008,Comedy Romance,7.1
221,The Broken Circle Breakdown,2012,Drama Music Romance,7.7
222,Downton Abbey,2019,Drama Romance,7.4
223,In a Better World,2010,Drama Romance,7.6
224,Broken Embraces,2009,Drama Romance Thriller,7.2
225,Devdas,2002,Drama Musical Romance,7.6
226,Yeh Jawaani Hai Deewani,2013,Drama Musical Romance,7.1
227,The Railway Man,2013,Biography Drama Romance,7.1
228,"Lust, Caution",2007,Drama History Romance,7.5
229,Love,2016,Comedy Drama Romance,7.7
230,Emily in Paris,2020,Comedy Drama Romance,7.1
231,Dear Zindagi,2016,Drama Romance,7.6
232,Bitter Moon,1992,Drama Romance Thriller,7.2
233,The One I Love,2014,Comedy Drama Romance,7.1
234,Keith,2008,Drama Romance,7.4
235,Sex and Lucía,2001,Drama Romance,7.1
236,Beauty and the Beast,2012,Drama Horror Romance,7.1
237,Masters of Sex,2013,Drama Romance,7.9
238,Happy Endings,2011,Comedy Romance,7.7
239,The Garden of Words,2013,Animation Drama Romance,7.5
240,The Messenger,2009,Drama Romance War,7.1
241,The Unbearable Lightness of Being,1988,Drama Romance,7.3
242,The Guernsey Literary and Potato Peel Pie Society,2018,Drama Romance War,7.4
243,Adam,2009,Comedy Drama Romance,7.2
244,Now Is Good,2012,Drama Romance,7.1
245,Normal People,2020,Drama Romance,8.5
246,Rumble Fish,1983,Crime Drama Romance,7.2
247,Rules of Engagement,2007,Comedy Romance,7.3
248,Coming Soon,2014,Comedy Drama Romance,7.4
249,Beautiful Girls,1996,Comedy Drama Romance,7.1
250,The Cosby Show,1984,Comedy Family Romance,7.3
251,45 Years,2015,Drama Romance,7.1
252,Hotel Chevalier,2007,Drama Romance Short,7.3
253,Body Heat,1981,Crime Drama Romance,7.4
254,Fanaa,2006,Drama Romance,7.2
255,The Edukators,2004,Drama Romance,7.5
256,North & South,2004,Drama Romance,8.6
257,Raise the Red Lantern,1991,Drama History Romance,8.1
258,Raanjhanaa,2013,Drama Romance,7.6
259,Julieta,2016,Drama Mystery Romance,7.1
260,Howards End,1992,Drama Romance,7.4
261,The Pillars of the Earth,2010,Drama History Romance,8.1
262,Dev.D,2009,Drama Romance,8.0
263,Wake Up Sid,2009,Comedy Drama Romance,7.6
264,Mom,2013,Comedy Drama Romance,7.2
265,Belle,2013,Biography Drama Romance,7.3
266,Dracula,2013,Drama Horror Romance,7.4
267,Kyle XY,2006,Drama Mystery Romance,7.5
268,Weekend,2011,Drama Romance,7.6
269,Some Kind of Wonderful,1987,Drama Romance,7.1
270,I Killed My Mother,2009,Drama Romance,7.5
271,Skam,2015,Drama Romance,8.6
272,Fireworks,1997,Crime Drama Romance,7.8
273,A Brilliant Young Mind,2014,Drama Romance,7.1
274,Husbands and Wives,1992,Comedy Drama Romance,7.5
275,Heartbeats,2010,Drama Romance,7.1
276,Mohabbatein,2000,Drama Musical Romance,7.1
277,Broadcast News,1987,Comedy Drama Romance,7.2
278,Somewhere in Time,1980,Drama Fantasy Romance,7.2
279,Dil Se..,1998,Drama Romance,7.6
280,Peaceful Warrior,2006,Drama Romance Sport,7.3
281,Only Yesterday,1991,Animation Drama Romance,7.6
282,Miss Pettigrew Lives for a Day,2008,Comedy Romance,7.1
283,Fist of Fury,1972,Action Drama Romance,7.4
284,Highway,2014,Crime Drama Romance,7.6
285,Tanu Weds Manu Returns,2015,Comedy Drama Romance,7.6
286,Kabir Singh,2019,Drama Romance,7.1
287,Angels in America,2003,Drama Fantasy Romance,8.2
288,Jaane Tu,2008,Comedy Drama Romance,7.4
289,Poldark,2015,Drama History Romance,8.3
290,A Discovery of Witches,2018,Drama Fantasy Romance,8.1
291,The Little Death,2014,Comedy Drama Romance,7.1
292,Farewell My Concubine,1993,Drama Music Romance,8.1
293,God's Own Country,2017,Drama Romance,7.7
294,"Play It Again, Sam",1972,Comedy Romance,7.6
295,The Fosters,2013,Drama Romance,7.9
296,Hatfields & McCoys,2012,Drama History Romance,8.0
297,My Life Without Me,2003,Drama Romance,7.5
298,The Art of Racing in the Rain,2019,Comedy Drama Romance,7.6
299,The L Word,2004,Drama Romance,7.6
300,Before Night Falls,2000,Biography Drama Romance,7.2
301,The White Queen,2013,Drama History Romance,7.8
302,Monsoon Wedding,2001,Comedy Drama Romance,7.3
303,Spectacle,2015,Comedy Drama Romance,7.3
304,You're the Worst,2014,Comedy Drama Romance,8.1
305,Nashville,2012,Drama Music Romance,7.7
306,The Way He Looks,2014,Drama Romance,7.9
307,"I'm a Cyborg, But That's OK",2006,Comedy Drama Romance,7.1
308,Beautiful Thing,1996,Comedy Drama Romance,7.5
309,Little Manhattan,2005,Comedy Family Romance,7.5
310,Queen & Slim,2019,Crime Drama Romance,7.1
311,Switched at Birth,2011,Drama Family Romance,7.7
312,Happy Together,1997,Drama Romance,7.8
313,The Way We Were,1973,Drama Romance,7.1
314,The Twilight Samurai,2002,Drama History Romance,8.1
315,Darr,1993,Action Drama Romance,7.8
316,The Shootist,1976,Drama Romance Western,7.6
317,The Man Without a Past,2002,Comedy Drama Romance,7.7
318,A Moment to Remember,2004,Drama Romance,8.2
319,Permanent Roommates,2014,Comedy Romance,8.6
320,United States of Tara,2009,Comedy Drama Romance,7.9
321,Breaking Away,1979,Comedy Drama Romance,7.7
322,A Woman Under the Influence,1974,Drama Romance,8.2
323,Jo Jeeta Wohi Sikandar,1992,Comedy Drama Romance,8.2
324,Losers' Club,2011,Comedy Drama Romance,7.6
325,Alice Doesn't Live Here Anymore,1974,Drama Romance,7.3
326,The End of the Affair,1999,Drama Romance,7.1
327,Koi... Mil Gaya,2003,Action Drama Romance,7.1
328,Certified Copy,2010,Drama Romance,7.3
329,Shelter,2007,Drama Romance Sport,7.6
330,In July,2000,Adventure Comedy Romance,7.7
331,Dear Frankie,2004,Drama Romance,7.7
332,College Romance,2018,Comedy Drama Romance,8.9
333,Arjun Reddy,2017,Drama Romance,8.1
334,Namastey London,2007,Comedy Drama Romance,7.1
335,Lakshya,2004,Action Drama Romance,7.9
336,The Best of Youth,2003,Drama Romance,8.5
337,Together,2000,Comedy Drama Romance,7.4
338,Yi Yi,2000,Drama Romance,8.2
339,War & Peace,2016,Drama History Romance,8.2
340,Day for Night,1973,Comedy Drama Romance,8.0
341,Pyaar Ka Punchnama,2011,Comedy Drama Romance,7.6
342,Flames,2018,Comedy Drama Romance,9.2
343,The Year of Living Dangerously,1982,Drama Romance War,7.1
344,Victor Victoria,1982,Comedy Music Romance,7.6
345,A Short Film About Love,1988,Drama Romance,8.2
346,Jane Eyre,2006,Drama Romance,8.3
347,Sonu Ke Titu Ki Sweety,2018,Comedy Romance,7.1
348,Modern Love,2019,Comedy Romance,8.0
349,My So-Called Life,1994,Comedy Drama Romance,8.3
350,Bareilly Ki Barfi,2017,Comedy Romance,7.5
351,5 to 7,2014,Comedy Drama Romance,7.1
352,Ali: Fear Eats the Soul,1974,Drama Romance,8.1
353,Breathe,2017,Biography Drama Romance,7.2
354,Barfly,1987,Comedy Drama Romance,7.2
355,Queer as Folk,2000,Drama Romance,8.3
356,Brassed Off,1996,Comedy Drama Romance,7.1
357,Lantana,2001,Drama Mystery Romance,7.2
358,Eat Drink Man Woman,1994,Comedy Drama Romance,7.8
359,Love & Basketball,2000,Drama Romance Sport,7.2
360,He Loves Me... He Loves Me Not,2002,Romance Thriller,7.2
361,Çöpçüler Krali,1977,Comedy Romance,8.6
362,Laurence Anyways,2012,Drama Romance,7.7
363,96,2018,Drama Romance,8.6
364,Lovers of the Arctic Circle,1998,Drama Mystery Romance,7.7
365,Days of Being Wild,1990,Crime Drama Romance,7.6
366,Dum Laga Ke Haisha,2015,Comedy Drama Romance,7.5
