,primaryTitle,startYear,genres,averageRating,numVotes
753,Falling Down,1993.0,"Action,Crime,Drama",7.6,169863
758,Battle Royale,2000.0,"Action,Adventure,Drama",7.6,168163
769,Layer Cake,2004.0,"Action,Crime,Drama",7.3,165608
770,The Crow,1994.0,"Action,Drama,Fantasy",7.6,165586
771,Mad Max 2: The Road Warrior,1981.0,"Action,Adventure,Sci-Fi",7.6,165481
773,REC,2007.0,"Action,Adventure,Fantasy",7.4,164659
780,Akira,1988.0,"Action,Animation,Sci-Fi",8.0,163179
783,Person of Interest,2011.0,"Action,Crime,Drama",8.4,162082
784,Train to Busan,2016.0,"Action,Horror,Thriller",7.6,162054
786,Beverly Hills Cop,1984.0,"Action,Comedy,Crime",7.3,162007
788,Lethal Weapon 2,1989.0,"Action,Crime,Thriller",7.2,160878
791,Three Kings,1999.0,"Action,Adventure,Comedy",7.1,159477
793,Team America: World Police,2004.0,"Action,Comedy",7.2,158856
795,Attack on Titan,2013.0,"Action,Adventure,Animation",8.8,158454
796,Superman,1978.0,"Action,Adventure,Drama",7.3,158168
799,American Made,2017.0,"Action,Comedy,Crime",7.2,157035
800,Point Break,1991.0,"Action,Crime,Thriller",7.3,156642
801,Upgrade,2018.0,"Action,Sci-Fi,Thriller",7.5,156251
804,Rise of the Guardians,2012.0,"Action,Adventure,Animation",7.3,155576
810,Dangal,2016.0,"Action,Biography,Drama",8.4,153462
812,Letters from Iwo Jima,2006.0,"Action,Adventure,Drama",7.9,153377
813,Rome,2005.0,"Action,Drama,History",8.7,153373
819,Battlestar Galactica,2004.0,"Action,Adventure,Drama",8.7,151614
823,The Umbrella Academy,2019.0,"Action,Adventure,Comedy",8.0,150944
826,Deepwater Horizon,2016.0,"Action,Drama,History",7.1,150082
832,The Last of the Mohicans,1992.0,"Action,Adventure,Drama",7.7,148259
835,Unbroken,2014.0,"Action,Biography,Drama",7.2,147625
836,Evil Dead II,1987.0,"Action,Comedy,Fantasy",7.8,147443
840,War Horse,2011.0,"Action,Adventure,Drama",7.2,145946
842,Spy Game,2001.0,"Action,Crime,Thriller",7.1,144214
850,Dirty Harry,1971.0,"Action,Crime,Thriller",7.7,142285
859,Allied,2016.0,"Action,Drama,Romance",7.1,139964
862,Altered Carbon,2018.0,"Action,Drama,Sci-Fi",8.0,139708
883,Defiance,2008.0,"Action,Drama,History",7.2,137352
893,Archer,2009.0,"Action,Animation,Comedy",8.6,136219
896,Memories of Murder,2003.0,"Action,Crime,Drama",8.1,135532
907,Kung Fu Panda 3,2016.0,"Action,Adventure,Animation",7.1,132769
908,9,2009.0,"Action,Adventure,Animation",7.1,132679
919,Payback,1999.0,"Action,Crime,Drama",7.1,130811
921,The Lego Batman Movie,2017.0,"Action,Animation,Comedy",7.3,130215
925,The Negotiator,1998.0,"Action,Crime,Drama",7.3,129623
927,We Were Soldiers,2002.0,"Action,Drama,History",7.2,129414
928,Buffy the Vampire Slayer,1997.0,"Action,Drama,Fantasy",8.2,129179
930,The Count of Monte Cristo,2002.0,"Action,Adventure,Drama",7.8,128259
933,Ghost in the Shell,1995.0,"Action,Animation,Crime",8.0,127899
940,Chuck,2007.0,"Action,Comedy,Drama",8.2,126589
941,Kung Fu Hustle,2004.0,"Action,Comedy,Fantasy",7.7,126386
944,Spartacus: Gods of the Arena,2011.0,"Action,Adventure,Biography",8.5,125825
947,Tombstone,1993.0,"Action,Biography,Drama",7.8,125641
951,Escape from New York,1981.0,"Action,Adventure,Sci-Fi",7.2,125142
954,Teen Wolf,2011.0,"Action,Drama,Fantasy",7.6,124843
960,Sicario: Day of the Soldado,2018.0,"Action,Adventure,Crime",7.1,123498
970,Big Trouble in Little China,1986.0,"Action,Adventure,Comedy",7.3,122627
976,Highlander,1986.0,"Action,Adventure,Fantasy",7.1,121139
982,Escape from Alcatraz,1979.0,"Action,Biography,Crime",7.6,120115
988,Bronson,2008.0,"Action,Biography,Crime",7.1,119524
991,The Walk,2015.0,"Action,Adventure,Biography",7.3,119082
995,NCIS,2003.0,"Action,Crime,Drama",7.7,117874
997,13 Hours,2016.0,"Action,Drama,History",7.3,117540
1000,Infernal Affairs,2002.0,"Action,Crime,Drama",8.0,117352
1001,Star Trek: First Contact,1996.0,"Action,Adventure,Drama",7.6,117323
1002,Kubo and the Two Strings,2016.0,"Action,Adventure,Animation",7.8,116977
1009,Luke Cage,2016.0,"Action,Crime,Drama",7.3,115548
1014,Fullmetal Alchemist: Brotherhood,2009.0,"Action,Adventure,Animation",9.1,114888
1015,Empire of the Sun,1987.0,"Action,Drama,History",7.7,114747
1022,The Raid 2,2014.0,"Action,Crime,Thriller",8.0,113628
1029,Star Trek II: The Wrath of Khan,1982.0,"Action,Adventure,Sci-Fi",7.7,112038
1032,One Punch Man,2015.0,"Action,Animation,Comedy",8.8,111605
1033,Dragon Ball Z,1996.0,"Action,Adventure,Animation",8.7,111600
1034,Ran,1985.0,"Action,Drama,War",8.2,111364
1039,Dawn of the Dead,1978.0,"Action,Adventure,Horror",7.9,110956
1041,Brothers,2009.0,"Action,Drama,Thriller",7.1,110764
1048,I Saw the Devil,2010.0,"Action,Crime,Drama",7.8,109680
1052,They Live,1988.0,"Action,Horror,Sci-Fi",7.3,109224
1053,The French Connection,1971.0,"Action,Crime,Drama",7.7,109165
1064,House of Flying Daggers,2004.0,"Action,Adventure,Drama",7.5,107358
1073,The Host,2006.0,"Action,Drama,Horror",7.1,105997
1080,The Mountain II,2016.0,"Action,Drama,War",8.8,104621
1091,Okja,2017.0,"Action,Adventure,Drama",7.3,103009
1097,Baahubali: The Beginning,2015.0,"Action,Drama",8.0,101896
1101,How to Train Your Dragon: The Hidden World,2019.0,"Action,Adventure,Animation",7.5,101722
1110,Crimson Tide,1995.0,"Action,Drama,Thriller",7.3,100999
1113,Rescue Dawn,2006.0,"Action,Biography,Drama",7.3,100627
1114,Brick,2005.0,"Action,Crime,Drama",7.3,100581
1116,The Legend of Korra,2012.0,"Action,Adventure,Animation",8.4,100442
1117,Willow,1988.0,"Action,Adventure,Drama",7.3,100278
1118,Orphan Black,2013.0,"Action,Drama,Sci-Fi",8.3,100275
1120,Star Trek: The Next Generation,1987.0,"Action,Adventure,Mystery",8.6,99658
1127,The Pacific,2010.0,"Action,Adventure,Drama",8.3,98353
1131,United 93,2006.0,"Action,Drama,History",7.5,98011
1132,The Spy Who Loved Me,1977.0,"Action,Adventure,Thriller",7.1,97893
1136,Elite Squad,2007.0,"Action,Crime,Drama",8.1,97592
1141,Ip Man 2,2010.0,"Action,Biography,Drama",7.5,97099
1145,Running Scared,2006.0,"Action,Crime,Drama",7.4,96656
1146,Jo Nesbø's Headhunters,2011.0,"Action,Crime,Thriller",7.5,96412
1152,Enter the Dragon,1973.0,"Action,Crime,Drama",7.7,95666
1168,The Warriors,1979.0,"Action,Crime,Thriller",7.6,93207
1179,In the Line of Fire,1993.0,"Action,Crime,Drama",7.2,91758
1189,Patriots Day,2016.0,"Action,Crime,Drama",7.4,90413
1190,WarGames,1983.0,"Action,Adventure,Drama",7.1,90181
1191,Star Trek: Discovery,2017.0,"Action,Adventure,Drama",7.3,90105
1200,The Defenders,2017.0,"Action,Adventure,Crime",7.3,89338
1213,Cowboy Bebop,1998.0,"Action,Adventure,Animation",8.9,87629
1217,Watchmen,2019.0,"Action,Drama,Mystery",8.1,87374
1218,Grosse Pointe Blank,1997.0,"Action,Comedy,Crime",7.3,87330
1221,Tom Clancy's Jack Ryan,2018.0,"Action,Drama,Thriller",8.1,87069
1227,Batman: The Animated Series,1992.0,"Action,Adventure,Animation",9.0,86014
1236,Justified,2010.0,"Action,Crime,Drama",8.6,85397
1239,Banshee,2013.0,"Action,Crime,Drama",8.4,85370
1242,Falling Skies,2011.0,"Action,Adventure,Drama",7.2,85047
1252,Ghost Dog: The Way of the Samurai,1999.0,"Action,Crime,Drama",7.5,84077
1254,Harry Brown,2009.0,"Action,Crime,Drama",7.2,83820
1262,Killing Eve,2018.0,"Action,Adventure,Drama",8.3,83078
1267,Stargate SG-1,1997.0,"Action,Adventure,Drama",8.4,82640
1269,Cobra Kai,2018.0,"Action,Comedy,Drama",8.7,82550
1279,Legion,2017.0,"Action,Drama,Sci-Fi",8.2,81751
1283,The Last Kingdom,2015.0,"Action,Drama,History",8.4,81269
1286,Gangs of Wasseypur,2012.0,"Action,Crime,Drama",8.2,81107
1305,Naruto: Shippûden,2007.0,"Action,Adventure,Animation",8.6,79657
1311,Elite Squad 2: The Enemy Within,2010.0,"Action,Crime,Drama",8.0,78870
1314,Eye in the Sky,2015.0,"Action,Drama,Thriller",7.3,78691
1315,The SpongeBob SquarePants Movie,2004.0,"Action,Adventure,Animation",7.1,78547
1343,Adventure Time,2010.0,"Action,Adventure,Animation",8.6,75550
1346,Midnight Run,1988.0,"Action,Comedy,Crime",7.5,75039
1347,Designated Survivor,2016.0,"Action,Drama,Mystery",7.5,74982
1354,Felon,2008.0,"Action,Crime,Thriller",7.4,74752
1356,Baahubali 2: The Conclusion,2017.0,"Action,Drama",8.2,74262
1360,Shaolin Soccer,2001.0,"Action,Comedy,Family",7.3,73916
1361,Sacred Games,2018.0,"Action,Crime,Drama",8.7,73741
1363,A Wednesday,2008.0,"Action,Crime,Drama",8.1,73474
1375,Fearless,2006.0,"Action,Biography,Drama",7.6,72626
1377,Agent Carter,2015.0,"Action,Adventure,Sci-Fi",7.9,72523
1387,Bajrangi Bhaijaan,2015.0,"Action,Adventure,Comedy",8.0,71378
1395,Ong-Bak: The Thai Warrior,2003.0,"Action,Crime,Thriller",7.2,70789
1404,Star Trek VI: The Undiscovered Country,1991.0,"Action,Adventure,Sci-Fi",7.2,69897
1415,Battlestar Galactica,2003.0,"Action,Adventure,Drama",8.6,68479
1419,Naruto,2002.0,"Action,Adventure,Animation",8.3,68094
1423,The Girl Who Kicked the Hornet's Nest,2009.0,"Action,Crime,Drama",7.3,67703
1425,Burn Notice,2007.0,"Action,Crime,Drama",7.9,67660
1428,Dragon Ball Z,1989.0,"Action,Adventure,Animation",8.7,67361
1434,Nikita,1990.0,"Action,Thriller",7.3,66919
